label,review
1,显示天气
1,天气
1,我需要不需要雨靴
1,我该穿外套吗
1,去外边要穿外衣吗
1,去外边要带夹克吗
1,外边需要雨伞吗
1,天气是不是很凉快
1,最近的天气是不是很冷
1,天气预报
1,天气很冷吗
1,天气会不会很热
1,天气温和吗
1,北京会不会阴雨
1,上海什么天气
1,不好意思可以帮我查香港的天气
1,厦门啥天气
1,上海多热
1,台北市温度
1,台南市几度
1,上海啥温度
1,台南市南区现在几度
1,上海的天气
1,上海的天气怎么样
1,首都的天气
1,首都的天气怎么样
1,魔都的天气
1,魔都的天气怎么样
1,我要上海明天的天气
1,我要上海后天的天气
1,上海明天的天气
1,上海昨天的天气
1,上海前天的天气
1,上海后天的天气
1,下个星期五南京的天气
1,明天北京什么天气
1,沈阳五天后的天气怎么样
1,下星期一北京的天气呢
1,今天天津的预报
1,青岛明天的
1,下星期日苏州
1,两天后的上海
1,三天后的武汉呢
1,三天后杭州多云吗
1,十月三号沈阳会下雨吗
1,明天台北天气
1,今天台北的天气如何
1,三天后台北的天气
1,北京今天的天气如何
1,杭州今天的天气怎么样
1,下个星期五台北天气好吗
1,今天台北天气如何
1,今天上海的天气
1,两天前上海的天气如何
1,今天台北市的天气如何
1,明天北京我需要不需要雨衣
1,下星期日北京外边需要毛线帽吗
1,今天北京去外边要穿羊毛袜吗
1,三月五号北京去外边要穿外衣吗
1,下个星期五我在厦门需要带伞吗
1,上海三天后多少度
1,明天上海的温度如何
1,今天上海的气温如何
1,明天马来西亚最近的天气是不是很冷
1,下星期一马来西亚天气凉快吗
1,下星期日马来西亚的天气会很热吗
1,首都明天的天气
1,魔都下午的天气
1,首都明天的天气怎么样
1,魔都下午的天气怎么样
1,今天天气如何
1,你知道现在外面冷不冷么
1,我还想知道一月一号的天气
1,稍后晚上会下雨吗
1,今天会不会晴朗
1,昨天几度
1,9月初四的天气如何
1,明天天气多少摄氏度
1,今天天气
1,昨天什么天气
1,明天要不要戴手套
1,今天去外边要穿毛衣吗
1,明天去外边要带雨伞吗
1,两天后我需要不需要雨靴
1,下星期一在外边需要墨镜吗
1,明天的天气会温和吗
1,今天天气很热不
1,今天天气几度
1,两天后的天气会不会很冷
1,明天的天气是不是很暖
1,明天天气怎么样
1,明天
1,后天
1,下个星期日怎么样
1,还需要昨天的
1,我还要昨天的
1,明天如何
1,后天如何
1,星期六呢
1,后天的呢
1,明天的怎么说
1,两天后的大概什么样
1,前天的
1,帮我查查三天前
1,帮我查查下星期五的
1,还要明天的
1,告诉我广州怎么样
1,广州
1,那么辽宁呢
1,北京啥情况
1,厦门怎么样
1,武汉呢
1,香港呢
1,我在杭州
1,上海
1,在宁波呢
1,宁波
1,首都
1,哈尔滨
1,PM2.5指数
1,今天PM2.5指数是多少
0,你是谁啊
0,你是谁
0,你叫什么名字
0,你叫什么名字呢
0,你叫什么呀
0,你叫什么
0,介绍一下自己
0,介绍自己
0,你能干啥
0,你能干什么
0,你能干什么呢
0,你能干啥呀
0,你能做什么
0,你能做什么呢
0,你有哪些技能
0,你的本领是什么
0,你的本领是什么呢
0,你好
0,您好
0,hello
0,hi
0,喂
0,你们现在有什么促销活动吗
0,这个产品的功能有哪些
0,我的订单什么时候会发货
0,我可以用哪些支付方式
0,产品使用时出现了错误提示，该怎么解决
0,我想投诉一个售后服务人员，该怎么做
0,如何退货或退款
0,这个产品的保修期是多久
0,你们提供的服务包括哪些内容
0,我可以在哪里下载你们的APP
0,产品使用过程中需要注意哪些事项
0,如何联系你们的客服
0,你们的客服工作时间是多久
0,这个产品的价格是多少
0,产品有没有现货
0,我可以在哪里查看产品的详细信息
0,我可以修改已提交的订单吗
0,如何取消订单
0,我需要提供哪些信息来注册账户
0,你们的产品有没有质量保证
0,我可以在哪里查看订单的物流信息
0,我可以在哪里查看我的购买记录
0,如何查询我的账户余额
0,你们的产品支持哪些配件
0,产品是否支持退换货
0,我需要支付额外的关税吗
0,我可以在哪里查看退货流程
0,你们的产品有没有年度销售排行榜
0,我可以在哪里查看用户评价
0,我需要提供哪些资料来申请退款
0,我可以用哪些银行卡支付
0,我可以在哪里查看订单的发票
0,产品的售后服务包括哪些内容
0,我可以在哪里查看优惠券的使用规则
0,我可以在哪里查看产品的规格参数
0,我可以在哪里查看产品的售后政策
0,我可以在哪里查看产品的安装指南
0,我可以在哪里查看产品的常见问题解答
0,你们有没有免费试用活动
0,我可以在哪里查看产品的用户手册
0,产品是否支持分期付款
0,你们的产品有没有免费配送
0,我可以在哪里查看产品的使用视频
0,产品是否支持线下购买
0,我可以在哪里查看产品的包装清单
0,我可以在哪里查看产品的品牌故事
0,你喜欢吃甜食吗